HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458881.76709,2020-02-02.2660575,bF,1.60,16.910,14.869,0.033,4.097,0.125,g
2458881.76836,2020-02-02.2673278,bF,1.57,16.868,14.871,0.035,4.090,0.130,g
2458881.76964,2020-02-02.2686037,bF,1.61,16.830,14.749,0.032,4.576,0.135,g
2458882.76063,2020-02-03.2596309,bj,1.59,16.302,14.789,0.056,4.411,0.227,g
2458882.76188,2020-02-03.2608723,bj,1.66,16.312,14.844,0.058,4.189,0.224,g
2458882.76310,2020-02-03.2620952,bj,1.61,16.284,14.730,0.054,4.658,0.233,g
2458883.56169,2020-02-04.0607118,bj,1.58,16.610,14.854,0.043,4.153,0.165,g
2458883.56291,2020-02-04.0619334,bj,1.55,16.611,14.928,0.046,3.878,0.165,g
2458883.56413,2020-02-04.0631518,bj,1.54,16.633,14.874,0.043,4.078,0.162,g
2458883.75954,2020-02-04.2585656,bj,1.68,16.250,14.809,0.060,4.329,0.238,g
2458883.76199,2020-02-04.2610184,bj,1.62,16.237,14.873,0.064,4.079,0.239,g
2458884.75681,2020-02-05.2558662,bj,1.61,16.168,14.710,0.059,4.740,0.256,g
2458884.75803,2020-02-05.2570932,bj,1.60,16.052,14.837,0.073,4.217,0.282,g
2458885.75616,2020-02-06.2552467,bj,2.00,15.469,14.929,0.134,3.873,0.475,g
2458885.75738,2020-02-06.2564752,bj,2.01,15.538,14.954,0.129,3.787,0.446,g
2458886.75043,2020-02-07.2495548,bj,2.03,15.405,14.764,0.122,4.509,0.505,g
2458886.75165,2020-02-07.2507789,bj,2.00,15.482,14.635,0.101,5.084,0.472,g
2458886.75288,2020-02-07.2520016,bj,1.96,15.228,14.892,0.163,4.011,0.594,g
2458887.56304,2020-02-08.0621934,bj,1.65,16.286,14.973,0.065,3.723,0.222,g
2458887.56427,2020-02-08.0634142,bj,1.55,16.362,14.861,0.055,4.129,0.207,g
2458887.56548,2020-02-08.0646327,bj,1.58,16.232,14.932,0.066,3.866,0.234,g
2458887.75539,2020-02-08.2545512,bF,1.57,15.944,15.048,0.096,3.473,0.305,g
2458887.75667,2020-02-08.2558239,bF,1.57,15.917,14.774,0.076,4.471,0.312,g
2458888.56217,2020-02-09.0613502,bj,1.60,16.147,15.111,0.084,3.280,0.253,g
2458888.56339,2020-02-09.0625744,bj,1.52,16.131,14.965,0.075,3.750,0.257,g
2458888.56462,2020-02-09.0638004,bj,1.57,16.164,15.041,0.078,3.494,0.249,g
2458888.74588,2020-02-09.2450831,bj,2.10,99.990,99.990,99.990,99.990,99.990,g
2458888.74712,2020-02-09.2463072,bj,2.11,14.967,>14.967,99.990,3.057,0.750,g
2458889.55784,2020-02-10.0570476,bj,1.61,16.416,14.966,0.058,3.748,0.197,g
2458889.55905,2020-02-10.0582670,bj,1.55,16.392,14.971,0.059,3.730,0.202,g
2458889.56027,2020-02-10.0594831,bj,1.60,16.360,15.112,0.069,3.275,0.208,g
2458889.74179,2020-02-10.2410171,bj,2.05,99.990,99.990,99.990,99.990,99.990,g
2458889.74301,2020-02-10.2422365,bj,2.07,99.990,99.990,99.990,99.990,99.990,g
